State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Karnataka,CHITRADURGA,Ragi,2009,Summer     ,1577.0,2455.0,1.56
Maharashtra,GONDIA,Rapeseed &Mustard,2012,Rabi       ,300.0,100.0,0.33
Jharkhand,CHATRA,Sugarcane,2009,Whole Year ,271.0,6202.0,22.89
Madhya Pradesh,DAMOH,Masoor,2019,Rabi       ,22922.0,17012.0,0.74
Assam,CACHAR,Mesta,2019,Kharif     ,3.0,16.0,5.33
Uttar Pradesh,HAMIRPUR,Onion,2003,Summer     ,24.0,237.0,9.88
Chhattisgarh,BILASPUR,Sugarcane,2017,Whole Year ,63.0,47.0,0.75
Maharashtra,SINDHUDURG,Sesamum,2010,Kharif     ,100.0,,0.0
Rajasthan,PRATAPGARH,Dry chillies,2009,Whole Year ,220.0,122.0,0.55
Karnataka,UDUPI,Maize,2005,Rabi       ,32.0,114.0,3.56
Uttar Pradesh,UNNAO,Linseed,1999,Rabi       ,399.0,175.0,0.44
Punjab,SHAHID BHAGAT SINGH NAGAR,Sugarcane,2001,Whole Year ,12000.0,720000.0,60.0
Haryana,JIND,Peas & beans (Pulses),2015,Kharif     ,655.0,6685.0,10.21
Odisha,GAJAPATI,Garlic,2000,Whole Year ,20.0,60.0,3.0
Chhattisgarh,BIJAPUR,Sannhamp,2012,Whole Year ,5.0,2.0,0.4
Maharashtra,HINGOLI,Moong(Green Gram),2007,Kharif     ,23800.0,18300.0,0.77
Rajasthan,TONK,Wheat,2006,Rabi       ,63430.0,163346.0,2.58
Maharashtra,SANGLI,Arhar/Tur,2008,Kharif     ,3900.0,1700.0,0.44
Uttar Pradesh,KANPUR NAGAR,Rapeseed &Mustard,2013,Rabi       ,13808.0,15913.0,1.15
Assam,TINSUKIA,Rice,2013,Winter     ,56890.0,97987.0,1.72
West Bengal,PARAGANAS SOUTH,Wheat,1998,Rabi       ,1293.0,2290.0,1.77
Maharashtra,NASHIK,Sugarcane,2005,Whole Year ,14300.0,729500.0,51.01
Maharashtra,SOLAPUR,Maize,1999,Rabi       ,12500.0,19400.0,1.55
Tamil Nadu,TIRUNELVELI,Ragi,2019,Rabi       ,12.0,50.0,4.17
Andhra Pradesh,KADAPA,Onion,2014,Kharif     ,2983.0,37144.0,12.45
Uttar Pradesh,LUCKNOW,Small millets,2014,Kharif     ,1.0,1.0,1.0
Rajasthan,HANUMANGARH,Potato,2001,Whole Year ,85.0,322.0,3.79
Madhya Pradesh,DATIA,Sesamum,2004,Kharif     ,5768.0,2839.0,0.49
Nagaland,KOHIMA,Other Cereals,2018,Kharif     ,210.0,220.0,1.05
Uttar Pradesh,MIRZAPUR,Sunflower,2016,Summer     ,1.0,1.0,1.0
Andhra Pradesh,KADAPA,Tobacco,2009,Whole Year ,3015.0,36506.0,12.11
Mizoram,MAMIT,other oilseeds,2007,Rabi       ,32.0,26.0,0.81
Karnataka,KODAGU,Banana,2005,Whole Year ,563.0,7440.0,13.21
Rajasthan,HANUMANGARH,Moth,2016,Kharif     ,88320.0,24065.0,0.27
Chhattisgarh,RAJNANDGAON,Mesta,2009,Kharif     ,51.0,100.0,1.96
Gujarat,SURENDRANAGAR,Bajra,2004,Summer     ,400.0,800.0,2.0
Assam,DHUBRI,Niger seed,2017,Kharif     ,380.0,229.0,0.6
Uttar Pradesh,GHAZIPUR,Rapeseed &Mustard,2014,Rabi       ,483.0,375.0,0.78
West Bengal,JALPAIGURI,Wheat,2002,Rabi       ,19612.0,38961.0,1.99
Assam,CACHAR,Urad,2001,Rabi       ,700.0,389.0,0.56
Bihar,NAWADA,Barley,2011,Rabi       ,45.0,41.0,0.91
Maharashtra,HINGOLI,Maize,2006,Kharif     ,500.0,500.0,1.0
Gujarat,AMRELI,Gram,2011,Rabi       ,2600.0,3800.0,1.46
Tamil Nadu,COIMBATORE,Urad,2012,Kharif     ,987.0,526.0,0.53
Himachal Pradesh,SHIMLA,Barley,2016,Rabi       ,3089.0,1776.0,0.57
Tamil Nadu,TIRUVANNAMALAI,Groundnut,1998,Kharif     ,127968.0,147425.0,1.15
Uttar Pradesh,SONBHADRA,Dry chillies,2012,Kharif     ,10.0,8.0,0.8
Gujarat,NAVSARI,Other  Rabi pulses,2006,Rabi       ,500.0,400.0,0.8
Karnataka,BIDAR,Maize,2007,Rabi       ,77.0,216.0,2.81
Tamil Nadu,THENI,Bajra,2017,Rabi       ,849.0,1753.0,2.06
Madhya Pradesh,BALAGHAT,Barley,2017,Kharif     ,300.0,480.0,1.6
Madhya Pradesh,DINDORI,Arhar/Tur,2009,Whole Year ,3742.0,2317.0,0.62
Telangana,JAGITIAL,Groundnut,2019,Rabi       ,220.0,384.0,1.75
Uttar Pradesh,ALLAHABAD,Barley,2001,Rabi       ,6557.0,10019.0,1.53
Assam,JORHAT,Peas & beans (Pulses),2001,Rabi       ,852.0,356.0,0.42
Uttar Pradesh,AURAIYA,Coriander,2007,Rabi       ,12.0,7.0,0.58
Bihar,GOPALGANJ,Rapeseed &Mustard,2005,Rabi       ,2565.0,3301.0,1.29
Haryana,KARNAL,Peas & beans (Pulses),2009,Rabi       ,168.0,200.0,1.19
Tamil Nadu,KARUR,Sesamum,1998,Kharif     ,11068.0,4292.0,0.39
Rajasthan,BIKANER,Peas & beans (Pulses),2016,Rabi       ,18.0,18.0,1.0
Tamil Nadu,SIVAGANGA,Moong(Green Gram),2009,Whole Year ,20.0,7.0,0.35
Gujarat,BANAS KANTHA,Gram,2017,Rabi       ,331.0,425.0,1.28
Uttar Pradesh,HATHRAS,Coriander,2016,Rabi       ,35.0,18.0,0.51
Karnataka,BIDAR,Garlic,2008,Whole Year ,67.0,147.0,2.19
Haryana,KURUKSHETRA,Wheat,2002,Rabi       ,108816.0,472000.0,4.34
Karnataka,BANGALORE RURAL,Other  Rabi pulses,2012,Rabi       ,57.0,26.0,0.46
Gujarat,SURENDRANAGAR,Rice,2009,Kharif     ,600.0,600.0,1.0
Maharashtra,SANGLI,Wheat,2000,Rabi       ,26300.0,44700.0,1.7
Bihar,AURANGABAD,Moong(Green Gram),2010,Summer     ,6.0,4.0,0.67
Haryana,MAHENDRAGARH,Gram,2005,Rabi       ,8128.0,4000.0,0.49
Madhya Pradesh,SHEOPUR,Jowar,2003,Kharif     ,7689.0,11735.0,1.53
Rajasthan,BUNDI,Wheat,2013,Rabi       ,160285.0,607915.0,3.79
Haryana,JIND,Sannhamp,2006,Whole Year ,5.0,,0.0
Maharashtra,JALNA,Cotton(lint),2004,Kharif     ,174000.0,206500.0,1.19
Madhya Pradesh,SAGAR,Small millets,2009,Kharif     ,602.0,201.0,0.33
Gujarat,ARAVALLI,Rice,2015,Kharif     ,1095.0,1284.0,1.17
Kerala,WAYANAD,Turmeric,2010,Whole Year ,160.81,516.0,3.21
West Bengal,PURULIA,Groundnut,2004,Whole Year ,908.0,824.0,0.91
Maharashtra,RATNAGIRI,Rice,2012,Kharif     ,73800.0,214800.0,2.91
Karnataka,CHITRADURGA,Ragi,2001,Rabi       ,474.0,650.0,1.37
Madhya Pradesh,AGAR MALWA,Urad,2015,Kharif     ,14000.0,8000.0,0.57
Bihar,PALAMU,Maize,1998,Summer     ,44.0,87.0,1.98
Odisha,JAGATSINGHAPUR,Garlic,2004,Whole Year ,526.0,1684.0,3.2
Haryana,FARIDABAD,Sweet potato,2010,Whole Year ,4.0,,0.0
Punjab,SANGRUR,Rapeseed &Mustard,2008,Rabi       ,1000.0,1000.0,1.0
Madhya Pradesh,JANJGIR-CHAMPA,Other Kharif pulses,1999,Kharif     ,2250.0,683.0,0.3
Tamil Nadu,CUDDALORE,Arhar/Tur,2001,Kharif     ,367.0,240.0,0.65
Manipur,UKHRUL,Other  Rabi pulses,2014,Rabi       ,667.0,540.0,0.81
Uttar Pradesh,MIRZAPUR,Arhar/Tur,2001,Kharif     ,14065.0,15211.0,1.08
Maharashtra,RAIGAD,Urad,2009,Kharif     ,600.0,400.0,0.67
Uttarakhand,CHAMPAWAT,Tobacco,2004,Whole Year ,4.0,14.0,3.5
Andhra Pradesh,KRISHNA,Maize,2010,Rabi       ,16750.0,142945.0,8.53
Mizoram,MAMIT,Rapeseed &Mustard,2019,Rabi       ,52.0,33.0,0.63
Tamil Nadu,VIRUDHUNAGAR,Groundnut,2014,Rabi       ,4253.0,7267.0,1.71
Chhattisgarh,BILASPUR,Maize,2019,Kharif     ,423.0,1129.0,2.67
Assam,DHEMAJI,Castor seed,2003,Kharif     ,117.0,52.0,0.44
Chhattisgarh,BILASPUR,Coriander,2019,Whole Year ,105.0,28.0,0.27
Tripura,KHOWAI,Rapeseed &Mustard,2018,Rabi       ,1056.0,847.0,0.8
Karnataka,BELAGAVI,Groundnut,2016,Kharif     ,28371.0,26252.0,0.93
Jharkhand,CHATRA,Potato,2008,Winter     ,990.09,8385.0,8.47
Assam,SIVASAGAR,Dry chillies,2015,Whole Year ,232.0,156.0,0.67
Rajasthan,BHARATPUR,Gram,1997,Rabi       ,55200.0,66500.0,1.2
Assam,BONGAIGAON,Small millets,1997,Kharif     ,986.0,542.0,0.55
Punjab,LUDHIANA,Rapeseed &Mustard,2012,Rabi       ,1000.0,1200.0,1.2
Madhya Pradesh,ALIRAJPUR,Jowar,2010,Rabi       ,1290.0,1551.0,1.2
Rajasthan,BARMER,Sesamum,2000,Kharif     ,3914.0,342.0,0.09
Tamil Nadu,TIRUVANNAMALAI,Arhar/Tur,2019,Rabi       ,440.0,634.0,1.44
Chhattisgarh,KORBA,Groundnut,2008,Kharif     ,289.0,316.0,1.09
Madhya Pradesh,RAISEN,Rapeseed &Mustard,2017,Rabi       ,280.0,200.0,0.71
Uttarakhand,UDAM SINGH NAGAR,Gram,2007,Rabi       ,30.0,23.0,0.77
Tamil Nadu,NAMAKKAL,Coconut ,2004,Whole Year ,3841.0,44700000.0,11637.59
West Bengal,PURULIA,Groundnut,2013,Rabi       ,22.0,19.0,0.86
West Bengal,JALPAIGURI,Gram,2004,Rabi       ,84.0,108.0,1.29
Rajasthan,CHITTORGARH,other oilseeds,2016,Rabi       ,381.0,158.0,0.41
Odisha,KORAPUT,Groundnut,2004,Winter     ,7.0,6.0,0.9
Telangana,NIZAMABAD,Groundnut,2018,Kharif     ,52.0,130.0,2.5
Madhya Pradesh,HARDA,Coriander,2011,Whole Year ,189.0,64.0,0.34
Bihar,MUZAFFARPUR,Sunflower,2009,Rabi       ,1.0,1.0,1.0
Uttar Pradesh,SANT KABEER NAGAR,Sesamum,2007,Kharif     ,117.0,18.0,0.15
Uttar Pradesh,AMROHA,Sugarcane,2010,Kharif     ,73251.0,4614813.0,63.0
Jharkhand,SAHEBGANJ,Gram,2019,Rabi       ,7433.0,6229.0,0.84
Chhattisgarh,KORBA,Other Kharif pulses,2006,Kharif     ,391.0,338.0,0.86
Maharashtra,AMRAVATI,Bajra,2018,Kharif     ,1.0,0.0,0.1
Odisha,DEOGARH,Moong(Green Gram),2013,Winter     ,45.0,13.0,0.29
Rajasthan,CHITTORGARH,Cotton(lint),2002,Kharif     ,1523.0,994.0,0.65
Uttar Pradesh,HATHRAS,Gram,2013,Rabi       ,23.0,10.0,0.43
Assam,DIBRUGARH,Sesamum,2005,Kharif     ,47.0,16.0,0.34
Rajasthan,CHITTORGARH,Sannhamp,2012,Whole Year ,54.0,72.0,1.33
Uttar Pradesh,BANDA,Peas & beans (Pulses),2015,Rabi       ,6724.0,3470.0,0.52
Uttar Pradesh,RAMPUR,Small millets,2019,Summer     ,3.0,3.0,1.0
Maharashtra,KOLHAPUR,Sugarcane,1998,Kharif     ,94700.0,9030400.0,95.36
Maharashtra,LATUR,Sesamum,2011,Kharif     ,3700.0,900.0,0.24
Uttar Pradesh,PRATAPGARH,Moong(Green Gram),1998,Summer     ,2991.0,1636.0,0.55
Bihar,MUNGER,Ragi,2000,Kharif     ,5.0,5.0,1.0
Gujarat,PORBANDAR,Moong(Green Gram),2016,Summer     ,400.0,573.0,1.43
Uttarakhand,UTTAR KASHI,Other Kharif pulses,2016,Kharif     ,1948.0,1908.0,0.98
Madhya Pradesh,VIDISHA,Coriander,2009,Whole Year ,1123.0,334.0,0.3
Bihar,ARWAL,Garlic,2008,Whole Year ,18.0,29.0,1.61
Andhra Pradesh,SRIKAKULAM,Tapioca,2008,Whole Year ,200.0,644.0,3.22
Meghalaya,EAST GARO HILLS,Rapeseed &Mustard,2001,Rabi       ,760.0,522.0,0.69
Madhya Pradesh,REWA,Sannhamp,2003,Whole Year ,121.0,189.0,1.56
Himachal Pradesh,BILASPUR,Other Kharif pulses,2005,Kharif     ,15.0,8.0,0.53
Gujarat,JUNAGADH,Bajra,2007,Summer     ,10000.0,22700.0,2.27
Rajasthan,BARAN,Moong(Green Gram),2001,Kharif     ,200.0,59.0,0.3
Rajasthan,JHUNJHUNU,Garlic,2003,Whole Year ,386.0,772.0,2.0
West Bengal,DINAJPUR DAKSHIN,Rice,2000,Winter     ,165989.0,338010.0,2.04
Haryana,KURUKSHETRA,Bajra,2002,Kharif     ,103.0,0.0,0.0
Chhattisgarh,MAHASAMUND,Mesta,2009,Kharif     ,58.0,145.0,2.5
Jharkhand,GARHWA,Potato,2014,Winter     ,1378.0,9827.0,7.13
Uttar Pradesh,LUCKNOW,Rapeseed &Mustard,1997,Rabi       ,3296.0,1466.0,0.44
Madhya Pradesh,UJJAIN,Maize,2014,Kharif     ,23000.0,41000.0,1.78
Gujarat,PANCH MAHALS,Rice,2017,Summer     ,1613.0,4298.0,2.66
Jharkhand,SAHEBGANJ,Soyabean,2018,Kharif     ,505.0,379.0,0.75
Bihar,MADHUBANI,Wheat,1998,Rabi       ,64510.0,105388.0,1.63
Uttar Pradesh,BULANDSHAHR,Bajra,2005,Kharif     ,10205.0,15460.0,1.51
Uttar Pradesh,GHAZIPUR,Gram,2007,Rabi       ,1277.0,1073.0,0.84
Jharkhand,GODDA,Sugarcane,2007,Whole Year ,40.46,1700.0,42.02
Odisha,PURI,Urad,2005,Summer     ,54.0,28.0,0.52
West Bengal,HOWRAH,Potato,2001,Whole Year ,7342.0,198417.0,27.02
Karnataka,TUMAKURU,Maize,2006,Kharif     ,12823.0,21857.0,1.7
Uttar Pradesh,FAIZABAD,Potato,2004,Rabi       ,3503.0,53651.0,15.32
Manipur,UKHRUL,Dry chillies,2003,Whole Year ,340.0,20.0,0.06
Uttar Pradesh,BAREILLY,Barley,1998,Rabi       ,342.0,816.0,2.39
Assam,KARBI ANGLONG,Rapeseed &Mustard,2013,Rabi       ,19704.0,10009.0,0.51
Gujarat,JAMNAGAR,Sugarcane,2002,Whole Year ,100.0,5000.0,50.0
Uttar Pradesh,JAUNPUR,Garlic,2011,Rabi       ,16.0,83.0,5.19
Uttar Pradesh,HAMIRPUR,Sesamum,2003,Kharif     ,3582.0,376.0,0.1
Odisha,GAJAPATI,Sesamum,2003,Kharif     ,1154.0,250.0,0.22
Odisha,MAYURBHANJ,Cowpea(Lobia),2019,Rabi       ,4390.0,3180.0,0.72
Bihar,LAKHISARAI,Arhar/Tur,2001,Kharif     ,169.0,240.0,1.42
Maharashtra,GADCHIROLI,Gram,1998,Rabi       ,3500.0,2000.0,0.57
Bihar,GAYA,Safflower,2008,Rabi       ,2.0,2.0,1.0
Bihar,JAMUI,Masoor,2019,Rabi       ,1119.0,618.0,0.55
Madhya Pradesh,SHIVPURI,Other  Rabi pulses,2003,Rabi       ,3804.0,1995.0,0.52
Karnataka,UTTARA KANNADA,Sesamum,2009,Kharif     ,1.0,,0.0
Kerala,ALAPPUZHA,Banana,2007,Whole Year ,635.0,4072.0,6.41
Uttar Pradesh,KANPUR DEHAT,Maize,2008,Kharif     ,13338.0,14698.0,1.1
Madhya Pradesh,KATNI,Other Kharif pulses,2000,Kharif     ,3600.0,592.0,0.16
Punjab,MOGA,Rice,2000,Kharif     ,159000.0,596000.0,3.75
Manipur,CHANDEL,Urad,2014,Kharif     ,310.0,345.0,1.11
Odisha,PURI,Sesamum,2007,Summer     ,923.0,203.0,0.22
Punjab,MANSA,Barley,2007,Rabi       ,1000.0,3000.0,3.0
Rajasthan,SIKAR,Dry chillies,2003,Whole Year ,481.0,151.0,0.31
Puducherry,PONDICHERRY,Groundnut,2015,Summer     ,55.0,165.0,3.0
Bihar,GOPALGANJ,Urad,2017,Kharif     ,36.0,32.0,0.89
Tamil Nadu,SALEM,Black pepper,2014,Whole Year ,841.0,155.0,0.18
Maharashtra,WARDHA,Rice,2001,Kharif     ,500.0,300.0,0.6
Karnataka,BELAGAVI,Urad,2014,Kharif     ,2705.0,601.0,0.22
Gujarat,JAMNAGAR,Wheat,2001,Rabi       ,9800.0,27800.0,2.84
Andhra Pradesh,KADAPA,Dry chillies,2005,Rabi       ,234.0,863.0,3.69
Uttar Pradesh,BARABANKI,Dry chillies,2010,Kharif     ,395.0,345.0,0.87
Chhattisgarh,KORBA,Sunflower,2003,Kharif     ,1.0,,0.0
Assam,DIMA HASAO,Mesta,2003,Kharif     ,2.0,9.0,4.5
Meghalaya,EAST GARO HILLS,Sesamum,2014,Kharif     ,256.0,217.0,0.85
Uttar Pradesh,SANT KABEER NAGAR,Sweet potato,2017,Kharif     ,59.0,659.0,11.17
Madhya Pradesh,DATIA,Peas & beans (Pulses),2007,Rabi       ,13031.0,5339.0,0.41
Gujarat,BANAS KANTHA,Wheat,2018,Rabi       ,52564.0,162737.0,3.1
Madhya Pradesh,TIKAMGARH,Linseed,2012,Rabi       ,101.0,36.0,0.36
Madhya Pradesh,GUNA,Soyabean,2016,Kharif     ,210000.0,172000.0,0.82
Gujarat,MAHESANA,Potato,2013,Whole Year ,6287.0,170881.0,27.18
Madhya Pradesh,HOSHANGABAD,Other Kharif pulses,2002,Kharif     ,646.0,194.0,0.3
Mizoram,KOLASIB,Maize,1999,Kharif     ,492.0,787.0,1.6
Manipur,SENAPATI,Arhar/Tur,2008,Kharif     ,48.0,53.0,1.1
Bihar,SIWAN,Bajra,2001,Kharif     ,19.0,14.0,0.74
Andhra Pradesh,KHAMMAM,Ragi,2005,Kharif     ,10.0,16.0,1.6
Meghalaya,WEST JAINTIA HILLS,Sweet potato,2016,Kharif     ,1020.0,3201.0,3.14
Tamil Nadu,KANCHIPURAM,Turmeric,2018,Whole Year ,3.0,12.0,4.0
Tamil Nadu,DHARMAPURI,Horse-gram,1999,Kharif     ,71795.0,31803.0,0.44
Arunachal Pradesh,WEST SIANG,Sugarcane,2016,Whole Year ,101.0,3229.0,31.97
Bihar,SITAMARHI,Ragi,2006,Kharif     ,810.0,708.0,0.87
Uttarakhand,HARIDWAR,Sugarcane,2011,Whole Year ,69409.0,4199245.0,60.5
Madhya Pradesh,GUNA,Garlic,2011,Whole Year ,70.0,163.0,2.33
Jammu and Kashmir,KATHUA,Bajra,2005,Kharif     ,308.0,169.0,0.55
Meghalaya,EAST GARO HILLS,Arecanut,2011,Whole Year ,2061.0,2362.0,1.15
Jharkhand,JAMTARA,Wheat,2006,Rabi       ,2238.41,3593.0,1.61
Jharkhand,GODDA,Potato,2015,Winter     ,756.0,5212.0,6.89
Bihar,BANKA,Masoor,2001,Rabi       ,1478.0,1024.0,0.69
Uttar Pradesh,ALLAHABAD,Rapeseed &Mustard,1997,Rabi       ,1453.0,701.0,0.48
Meghalaya,NORTH GARO HILLS,Small millets,2017,Rabi       ,102.0,111.0,1.09
Karnataka,KOPPAL,Castor seed,2017,Kharif     ,308.0,173.0,0.56
Assam,NAGAON,Rice,1999,Summer     ,52650.0,127398.0,2.42
Rajasthan,DAUSA,Urad,2005,Kharif     ,8.0,2.0,0.25
Maharashtra,BHANDARA,Rice,2012,Summer     ,7100.0,18700.0,2.63
Karnataka,KALABURAGI,Moong(Green Gram),2011,Kharif     ,21905.0,7991.0,0.36
Karnataka,UTTARA KANNADA,Horse-gram,2014,Rabi       ,461.0,226.0,0.49
Tamil Nadu,PERAMBALUR,Dry chillies,2005,Whole Year ,1698.0,1107.0,0.65
Uttar Pradesh,ALLAHABAD,Maize,2011,Rabi       ,25.0,60.0,2.4
Madhya Pradesh,ANUPPUR,Rice,2009,Whole Year ,97064.0,56420.0,0.58
Gujarat,ARAVALLI,Moth,2016,Kharif     ,7.0,3.0,0.43
Bihar,PATNA,Rice,2018,Winter     ,73234.0,178560.0,2.44
Tamil Nadu,KRISHNAGIRI,Groundnut,2012,Kharif     ,16505.0,34859.0,2.11
Uttar Pradesh,LUCKNOW,Onion,2018,Rabi       ,1085.0,16653.0,15.35
Telangana,NALGONDA,Maize,2013,Kharif     ,4313.0,5301.0,1.23
Jharkhand,WEST SINGHBHUM,Rice,2004,Autumn     ,9775.62,6028.0,0.62
Nagaland,TUENSANG,Maize,2006,Kharif     ,9370.0,15690.0,1.67
Odisha,JAGATSINGHAPUR,Horse-gram,2011,Winter     ,853.0,406.0,0.48
Madhya Pradesh,ANUPPUR,Other Kharif pulses,2012,Kharif     ,84.0,34.0,0.4
Uttar Pradesh,GORAKHPUR,Groundnut,2014,Kharif     ,3042.0,3258.0,1.07
Assam,TINSUKIA,Urad,2017,Rabi       ,1988.0,1655.0,0.83
Gujarat,NARMADA,Cotton(lint),2018,Kharif     ,48046.0,152815.0,3.18
Gujarat,SABAR KANTHA,Urad,1998,Kharif     ,36700.0,26400.0,0.72
Karnataka,KALABURAGI,Horse-gram,2006,Rabi       ,991.0,239.0,0.24
Gujarat,SABAR KANTHA,Soyabean,2019,Kharif     ,6296.0,8301.0,1.32
Karnataka,BANGALORE RURAL,Other Kharif pulses,2007,Kharif     ,4258.0,4476.0,1.05
Nagaland,ZUNHEBOTO,Maize,2017,Kharif     ,10100.0,20000.0,1.98
Maharashtra,LATUR,Maize,2002,Rabi       ,300.0,300.0,1.0
Chhattisgarh,JANJGIR-CHAMPA,Sannhamp,2015,Kharif     ,18.0,8.0,0.44
Bihar,SIWAN,Mesta,2013,Kharif     ,17.0,259.0,15.24
Uttar Pradesh,JAUNPUR,Barley,2003,Rabi       ,851.0,1165.0,1.37
Maharashtra,AMRAVATI,Jowar,1998,Kharif     ,115200.0,173500.0,1.51
Tamil Nadu,ERODE,Moong(Green Gram),2015,Kharif     ,546.0,433.0,0.79
Chhattisgarh,SURAJPUR,Arhar/Tur,2015,Kharif     ,4250.0,2198.0,0.52
Jammu and Kashmir,UDHAMPUR,Dry chillies,2009,Kharif     ,15.0,15.0,0.97
Meghalaya,SOUTH WEST GARO HILLS,Arhar/Tur,2015,Kharif     ,317.0,450.0,1.42
Bihar,BHAGALPUR,Horse-gram,1999,Kharif     ,906.0,717.0,0.79
Tamil Nadu,THIRUVALLUR,Castor seed,2016,Kharif     ,2.0,,0.0
Odisha,KENDUJHAR,Rapeseed &Mustard,2016,Winter     ,1246.0,573.0,0.46
Punjab,MANSA,Rice,2009,Kharif     ,77000.0,324000.0,4.21
Maharashtra,AHMEDNAGAR,Arhar/Tur,2017,Kharif     ,15700.0,15600.0,0.99
Maharashtra,WARDHA,Cotton(lint),1997,Whole Year ,1401.0,62100.0,44.33
Andhra Pradesh,KURNOOL,Sesamum,2011,Rabi       ,425.0,218.0,0.51
Uttar Pradesh,BAHRAICH,Sweet potato,2018,Kharif     ,86.0,988.0,11.49
Andhra Pradesh,WARANGAL,Arhar/Tur,2000,Kharif     ,31026.0,8749.0,0.28
Andhra Pradesh,PRAKASAM,Cashewnut,2001,Whole Year ,702.0,193.0,0.27
Bihar,BHAGALPUR,Jowar,2004,Kharif     ,8.0,8.0,1.0
Karnataka,UDUPI,Coriander,2018,Whole Year ,3.0,3.0,1.0
Andhra Pradesh,MAHBUBNAGAR,Banana,2000,Whole Year ,5.0,128.0,25.6
Uttar Pradesh,BAHRAICH,Groundnut,2014,Kharif     ,1539.0,1330.0,0.86
Karnataka,HAVERI,Safflower,2008,Rabi       ,2504.0,1832.0,0.73
Odisha,BHADRAK,Sesamum,2003,Kharif     ,68.0,13.0,0.19
Rajasthan,JAIPUR,Sweet potato,2018,Whole Year ,97.0,115.0,1.19
Kerala,WAYANAD,Cowpea(Lobia),2012,Whole Year ,685.0,,0.0
Rajasthan,DHOLPUR,Potato,2002,Whole Year ,1390.0,2504.0,1.8
Tripura,WEST TRIPURA,Maize,2019,Kharif     ,2122.0,2948.0,1.39
Haryana,REWARI,Garlic,2016,Whole Year ,40.0,260.0,6.5
Rajasthan,SAWAI MADHOPUR,Cotton(lint),2009,Kharif     ,2.0,6.0,2.94
Himachal Pradesh,KINNAUR,Rice,2012,Kharif     ,15.0,23.0,1.53
Bihar,KHAGARIA,Barley,2018,Rabi       ,59.0,117.0,1.98
Tamil Nadu,PERAMBALUR,Coriander,2006,Whole Year ,840.0,272.0,0.32
Assam,KARBI ANGLONG,Sesamum,2013,Kharif     ,3072.0,2321.0,0.76
Tamil Nadu,VELLORE,Sunflower,2016,Kharif     ,4.0,3.0,0.75
Jharkhand,SIMDEGA,Potato,2012,Winter     ,627.0,3682.0,5.87
Assam,DHUBRI,Onion,2007,Whole Year ,637.0,1656.0,2.6
Uttar Pradesh,KAUSHAMBI,Peas & beans (Pulses),2003,Rabi       ,1506.0,1629.0,1.08
Andhra Pradesh,CHITTOOR,Rice,2009,Rabi       ,35155.0,113937.0,3.24
Gujarat,AHMADABAD,Rice,2018,Kharif     ,113463.0,149704.0,1.32
Jharkhand,GUMLA,Potato,2014,Rabi       ,839.0,6225.0,7.42
Karnataka,HAVERI,Bajra,2000,Summer     ,8.0,9.0,1.13
Jharkhand,RAMGARH,Groundnut,2018,Kharif     ,834.0,1034.0,1.24
Maharashtra,PARBHANI,Gram,2017,Rabi       ,107869.0,67192.0,0.62
Uttar Pradesh,KHERI,Wheat,2004,Rabi       ,204074.0,568658.0,2.79
Karnataka,KOPPAL,Horse-gram,2001,Rabi       ,8324.0,1313.0,0.16
Karnataka,CHAMARAJANAGARA,Rice,2003,Summer     ,910.0,3302.0,3.63
Haryana,JIND,Cotton(lint),2010,Kharif     ,47272.0,161000.0,3.41
Madhya Pradesh,INDORE,Potato,2019,Whole Year ,44652.0,1138626.0,25.5
Gujarat,KACHCHH,Urad,2010,Kharif     ,100.0,100.0,1.0
Karnataka,VIJAYAPURA,Maize,1998,Rabi       ,4216.0,9629.0,2.28
Rajasthan,JAIPUR,Masoor,2018,Rabi       ,116.0,135.0,1.16
Madhya Pradesh,JHABUA,Urad,2011,Kharif     ,8938.0,2666.0,0.3
Tamil Nadu,THIRUVALLUR,Moong(Green Gram),1999,Kharif     ,9682.0,6013.0,0.62
Bihar,BANKA,Other Kharif pulses,2002,Kharif     ,485.0,268.0,0.55
Uttarakhand,RUDRA PRAYAG,Other Kharif pulses,2012,Kharif     ,62.0,46.0,0.74
Maharashtra,NAGPUR,Sugarcane,2015,Whole Year ,4400.0,296500.0,67.39
Telangana,ADILABAD,Soyabean,2017,Kharif     ,19459.0,30006.0,1.54
Himachal Pradesh,KANGRA,Peas & beans (Pulses),2014,Kharif     ,102.0,127.0,1.25
Madhya Pradesh,SHIVPURI,Barley,2005,Rabi       ,1410.0,2148.0,1.52
Arunachal Pradesh,LOWER SUBANSIRI,Soyabean,2017,Kharif     ,41.0,16.0,0.39
Uttar Pradesh,ETAH,Moong(Green Gram),2013,Kharif     ,319.0,102.0,0.32
Uttarakhand,PAURI GARHWAL,Arhar/Tur,2014,Kharif     ,361.0,315.0,0.87
Madhya Pradesh,HOSHANGABAD,Sannhamp,2002,Whole Year ,31.0,72.0,2.32
Chhattisgarh,BIJAPUR,Moong(Green Gram),2007,Rabi       ,511.0,138.0,0.27
Assam,KARBI ANGLONG,Cotton(lint),1998,Kharif     ,659.0,318.0,0.48
Bihar,SARAN,Small millets,2016,Kharif     ,25.0,19.0,0.76
Chhattisgarh,BIJAPUR,Ragi,2012,Kharif     ,66.0,20.0,0.3
Assam,TINSUKIA,Potato,2017,Whole Year ,3204.0,16047.0,5.01
